	6.43e-01
	3.85e-13
	1.00
HMGN3	1.00
LOC101927815	1.00
	1.00
TCF24	1.00
	9.99e-01
	1.00
	9.99e-01
	9.99e-01
OR51I1	9.99e-01
	9.99e-01
BCL11B	9.99e-01
	9.99e-01
	9.99e-01
SAMD8	9.99e-01
KCNK10	9.99e-01
	9.99e-01
	9.99e-01
TPTE2P3	9.98e-01
	9.98e-01
CEP97	9.98e-01
	9.98e-01
	9.98e-01
	9.98e-01
C11orf44	9.98e-01
	9.98e-01
	9.98e-01
	9.99e-01
TTPA	9.97e-01
	9.98e-01
	9.97e-01
	9.98e-01
	9.97e-01
	9.99e-01
	9.98e-01
PDPR	9.99e-01
CAMK1D	9.97e-01
	9.97e-01
	9.96e-01
	9.97e-01
ATXN3L	9.97e-01
	9.96e-01
	9.97e-01
CERS2	9.98e-01
	9.96e-01
	9.98e-01
	9.96e-01
	9.96e-01
TRAT1	9.96e-01
	9.96e-01
MTUS1	9.96e-01
	9.96e-01
	9.96e-01
	9.98e-01
UGT2B17	9.96e-01
TMEM14B	9.98e-01
	9.96e-01
CLCN6	9.98e-01
	9.96e-01
	9.95e-01
	9.96e-01
	9.96e-01
	9.97e-01
KLHL33	9.96e-01
	9.96e-01
PCBP4	9.97e-01
LINC01173	9.96e-01
	9.96e-01
	9.97e-01
	9.97e-01
	9.96e-01
RLIM	9.95e-01
	9.95e-01
ALLC	9.95e-01
	9.98e-01
PALM2-AKAP2	9.97e-01
	9.96e-01
CA7	9.95e-01
	9.95e-01
	9.95e-01
	9.98e-01
CACNA1A	9.95e-01
	9.95e-01
	9.95e-01
	9.95e-01
	9.96e-01
UCP1	9.94e-01
	9.95e-01
	9.95e-01
	9.95e-01
	9.96e-01
ODF1	9.94e-01
NFYC	9.97e-01
	9.95e-01
FILIP1L	9.94e-01
	9.96e-01
	9.95e-01
	9.94e-01
	9.95e-01
	9.94e-01
FAM129B	9.97e-01
ZNF580	9.96e-01
KMT2C	9.98e-01
	9.93e-01
KCTD4	9.93e-01
SSTR3	9.94e-01
SPRR2G	9.96e-01
	9.95e-01
	9.93e-01
	9.93e-01
	9.95e-01
	9.94e-01
	9.94e-01
PPBP	9.94e-01
	9.94e-01
	9.93e-01
HK2	9.98e-01
	9.94e-01
	9.93e-01
	9.94e-01
CFC1	9.94e-01
	9.94e-01
	9.94e-01
	9.94e-01
	9.93e-01
	9.94e-01
	9.94e-01
	9.92e-01
	9.94e-01
	9.94e-01
	9.94e-01
	9.93e-01
	9.93e-01
NLRP8	9.91e-01
	9.92e-01
TBC1D29	9.92e-01
	9.93e-01
ARFIP2	9.96e-01
	9.93e-01
PRKCZ	9.91e-01
PLEC	9.92e-01
	9.94e-01
	9.92e-01
PCDHGA11	9.91e-01
	9.91e-01
EFCAB5	9.91e-01
BEND4	9.94e-01
	9.92e-01
	9.94e-01
EPM2A	9.92e-01
TREML3P	9.91e-01
	9.93e-01
	9.92e-01
ZNF780B	9.93e-01
	9.91e-01
PPP2R2B	9.94e-01
GPIHBP1	9.91e-01
PCDHGA1	9.90e-01
IPMK	9.92e-01
	9.94e-01
	9.95e-01
	9.92e-01
	9.93e-01
	9.94e-01
OMA1	9.97e-01
	9.93e-01
ADAMTS16	9.93e-01
	9.91e-01
	9.95e-01
	9.92e-01
	9.93e-01
	9.89e-01
	9.91e-01
	9.92e-01
	9.90e-01
EXOSC1	9.92e-01
	9.90e-01
	9.93e-01
	9.91e-01
	9.92e-01
PAK4	9.93e-01
	9.91e-01
	9.92e-01
TGFBI	9.96e-01
CDC42	9.88e-01
BDNF	9.94e-01
	9.89e-01
KRTAP15-1	9.89e-01
	9.91e-01
NAV2-IT1	9.90e-01
	9.89e-01
	9.94e-01
MAGEB6	9.94e-01
	9.90e-01
	9.89e-01
	9.94e-01
	9.91e-01
	9.94e-01
	9.95e-01
PXT1	9.87e-01
A1CF	9.89e-01
	9.91e-01
	9.92e-01
	9.92e-01
	9.89e-01
LY75	9.91e-01
FGF16	9.89e-01
	9.92e-01
SUMF2	9.96e-01
	9.89e-01
	9.87e-01
	9.90e-01
ITSN2	9.94e-01
	9.88e-01
	9.87e-01
	9.89e-01
AMZ2	9.93e-01
	9.91e-01
	9.93e-01
OR2A12	9.88e-01
	9.87e-01
	9.89e-01
	9.89e-01
	9.89e-01
	9.88e-01
SLC35D3	9.91e-01
	9.87e-01
	9.88e-01
NLRP5	9.92e-01
	9.87e-01
	9.87e-01
	9.94e-01
	9.86e-01
	9.91e-01
	9.87e-01
RAB9BP1	9.88e-01
	9.92e-01
	9.90e-01
CACNB1	9.87e-01
	9.86e-01
	9.91e-01
	9.87e-01
C11orf80	9.93e-01
LOC100996338	9.89e-01
	9.87e-01
SMCP	9.92e-01
WDR87	9.86e-01
	9.92e-01
CAV3	9.90e-01
	9.88e-01
GTF2H2C_2	9.88e-01
KCNH2	9.88e-01
	9.90e-01
HK1	9.86e-01
	9.90e-01
OR4N4	9.87e-01
	9.87e-01
	9.90e-01
	9.91e-01
	9.84e-01
	9.90e-01
	9.88e-01
LOC100996654	9.89e-01
OR1N2	9.88e-01
	9.89e-01
	9.85e-01
	9.88e-01
	9.91e-01
	9.86e-01
	9.93e-01
	9.89e-01
	9.89e-01
	9.89e-01
	9.86e-01
POLR3G	9.87e-01
	9.85e-01
	9.85e-01
	9.93e-01
DEFB132	9.86e-01
A1BG	9.87e-01
LOC101927592	9.87e-01
	9.82e-01
OR5B3	9.89e-01
	9.84e-01
RNF6	9.90e-01
KLK3	9.81e-01
ZPBP2	9.87e-01
CNBD1	9.84e-01
	9.83e-01
	9.91e-01
ITGB3	9.93e-01
	9.83e-01
	9.87e-01
	9.87e-01
DAZ1	9.83e-01
TNRC6B	9.87e-01
TDRG1	9.87e-01
	9.88e-01
	9.87e-01
	9.84e-01
	9.82e-01
FANCM	9.91e-01
	9.87e-01
	9.87e-01
	9.89e-01
AIMP1	9.88e-01
PBRM1	9.88e-01
	9.87e-01
	9.87e-01
	9.86e-01
	9.91e-01
	9.88e-01
	9.85e-01
	9.83e-01
	9.82e-01
MYOD1	9.84e-01
	9.88e-01
	9.86e-01
	9.81e-01
PRKACB	9.81e-01
	9.82e-01
NEDD1	9.86e-01
	9.84e-01
OR1B1	9.85e-01
OR14C36	9.83e-01
SLC26A1	9.82e-01
	9.82e-01
LIPI	9.82e-01
	9.86e-01
	9.85e-01
	9.83e-01
MEN1	9.84e-01
	9.90e-01
	9.92e-01
CHRM2	9.81e-01
	9.82e-01
	9.82e-01
	9.88e-01
INSM1	9.95e-01
	9.81e-01
RIOK1	9.93e-01
	9.83e-01
	9.81e-01
TMPO	9.82e-01
	9.83e-01
TIMM13	9.91e-01
	9.82e-01
